filename,map,duration_s,players,shape,usable
lmctf-2022-03-21-lmctf10-20.52.dm2,lmctf10,23.8,3,client(human),False
lmctf-2022-03-21-lmctf21-20.40.dm2,lmctf21,180.5,10,client(human),False
lmctf-2022-03-21-lmctf21-20.43.dm2,lmctf21,554.3,10,client(human),True
lmctf-2022-03-21-lmctf22-20.32.dm2,lmctf22,59.4,7,client(human),False
lmctf-2022-03-21-smap30-20.53.dm2,smap30,492.6,10,client(human),True
lmctf-2022-03-21-smap30-21.01.dm2,smap30,1304.3,6,client(human),True
lmctf-2022-03-28-lmctf09-20.27.dm2,lmctf09,102.3,5,client(human),False
lmctf-2022-03-28-lmctf14-20.42.dm2,lmctf14,16.5,5,client(human),False
lmctf-2022-03-28-lmctf48-20.29.dm2,lmctf48,160.0,2,client(human),False
lmctf-2022-03-28-lmctf54-20.32.dm2,lmctf54,575.2,9,client(human),True
lmctf-2022-03-28-lmctf74-20.26.dm2,lmctf74,62.8,4,client(human),False
lmctf-2022-03-28-lmctf74-20.42.dm2,lmctf74,411.8,7,client(human),True
lmctf-2022-04-18-lmctf01-20.06.dm2,lmctf01,1.1,0,client(human),False
lmctf-2022-04-18-lmctf01-20.07.dm2,lmctf01,1.2,0,client(human),False
lmctf-2022-04-18-lmctf01-20.08.dm2,lmctf01,10.7,0,client(human),False
lmctf-2022-04-18-lmctf01-20.14.dm2,lmctf01,272.6,1,client(human),False
lmctf-2022-04-18-lmctf01-20.19.dm2,lmctf01,234.9,3,client(human),False
lmctf-2022-04-18-lmctf09-21.00.dm2,lmctf09,212.8,9,client(human),False
lmctf-2022-04-18-lmctf21-20.08.dm2,lmctf21,353.2,2,client(human),True
lmctf-2022-04-18-lmctf22-21.00.dm2,lmctf22,10.7,1,client(human),False
lmctf-2022-04-18-lmctf24-21.29.dm2,lmctf24,9.8,2,client(human),False
lmctf-2022-04-18-lmctf48-20.32.dm2,lmctf48,237.9,10,client(human),False
lmctf-2022-04-18-lmctf48-20.36.dm2,lmctf48,1403.5,10,client(human),True
lmctf-2022-04-18-lmctf54-20.23.dm2,lmctf54,557.5,9,client(human),True
lmctf-2022-04-18-lmctf54-21.03.dm2,lmctf54,147.5,10,client(human),False
lmctf-2022-04-18-lmctf54-21.06.dm2,lmctf54,1379.4,10,client(human),True
lmctf-2022-04-18-lmctf57-21.29.dm2,lmctf57,338.9,10,client(human),True
lmctf-2022-04-18-lmctf57-21.35.dm2,lmctf57,1702.6,9,client(human),True
lmctf-2022-05-02-lmctf04-20.47.dm2,lmctf04,143.4,6,client(human),False
lmctf-2022-05-02-lmctf09-20.50.dm2,lmctf09,284.9,10,client(human),False
lmctf-2022-05-02-lmctf09-20.54.dm2,lmctf09,1566.3,10,client(human),True
lmctf-2022-05-02-lmctf09-21.21.dm2,lmctf09,26.9,6,client(human),False
lmctf-2022-05-02-smap05-20.47.dm2,smap05,1.0,0,client(human),False
lmctf-2022-05-02-smap05-21.21.dm2,smap05,89.1,7,client(human),False
lmctf-2022-05-02-smap05-21.23.dm2,smap05,590.6,10,client(human),True
